tconst,primaryTitle,startYear,runtimeMinutes,number_of_languages,budget,is_in_collection,release_month,popular_actors_count,rated_unknown,rated_R,rated_MA,rated_Unrated,rated_PG,rated_TV-14,rated_PG-13,rated_G,genre_Mystery,genre_Adventure,genre_Drama,genre_Action,genre_Comedy,genre_Documentary,genre_Thriller,genre_Romance,genre_Horror,genre_Crime,genre_unknown,AverageRating,rating_bins
tt0995854,A Journal for Jordan,2021,131,29,0,0,12,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.8,D
tt10002654,Pattabhiraman,2019,139,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,B
tt10003008,The Rental,2020,88,40,0,0,7,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5.7,D
tt10003618,Celts,2021,106,12,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,B
tt10003978,Fiddler: A Miracle of Miracles,2019,97,8,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.5,B
tt10003994,Seeds,2020,90,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.6,B
tt10004108,Sacrifice,2020,87,13,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.6,E
tt10004368,I Never Cry,2020,98,15,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.1,B
tt10004372,Soccer in the City,2019,82,3,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.3,A
tt10004396,When I Became a Butterfly,2018,102,4,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.3,D
tt10004456,El Camino,2020,123,2,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,B
tt10004574,Paradise,2019,78,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.2,E
tt10004944,Aporia,2019,85,9,0,0,11,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.1,E
tt10005184,Down the River,2018,98,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7,B
tt10005622,Chinese Speaking Vampires,2021,80,2,100000,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.9,E
tt10005864,Barof 2019,2019,101,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,C
tt10006006,A Christmas Prince: The Royal Baby,2019,84,22,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.4,D
tt10006122,Debout,2019,85,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,C
tt10006160,Kala azar,2020,91,11,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,D
tt10006270,Hunting Season,2019,92,11,2600000,0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4.9,E
tt10007268,Mesto!,2019,60,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.5,D
tt10007978,Terror in the Skies,2019,67,3,15000,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.8,D
tt10008784,Bull,2019,108,11,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.5,C
tt10009030,Snatchers,2019,96,17,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.8,D
tt10009098,Willie,2019,89,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,B
tt10009434,Family Obligations,2019,81,4,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5.3,D
tt10009602,My Name Is Daniel,2018,82,6,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,B
tt10010368,The Australian Dream,2019,105,7,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.9,B
tt10010748,Mossville: When Great Trees Fall,2019,76,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.5,A
tt10010814,Turtle,2018,75,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.2,A
tt10011002,Preman,2021,92,8,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,6.7,C
tt10011102,The Sholay Girl,2019,106,4,1000,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7.7,B
tt10011226,17 Blocks,2019,96,6,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,B
tt10011228,Hunted,2020,87,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.3,D
tt10011232,Leftover Women,2019,83,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,B
tt10011244,My Neighbor Wants Me Dead,2019,51,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.8,D
tt10011252,Watson,2019,99,7,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,A
tt10011264,A Woman's Work: The NFL's Cheerleader Problem,2019,80,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.9,C
tt10011270,The Dominican Dream,2019,100,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,B
tt10011284,Lil' Buck: Real Swan,2019,85,11,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,B
tt10011296,Nomad: In the Footsteps of Bruce Chatwin,2019,85,14,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.9,C
tt10011302,The Emoji Story,2019,81,5,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.7,D
tt10011312,All I Can Say,2019,126,3,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.7,B
tt10011320,Changing the Game,2019,88,5,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6.1,C
tt10011336,Lucky Grandma,2019,87,12,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6.3,C
tt10011342,The Rest,2019,78,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,C
tt10011362,"Red, White & Wasted",2019,89,5,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,C
tt10011402,Martha: A Picture Story,2019,82,7,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,B
tt10011412,You Don't Nomi,2019,92,11,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,C
tt10011448,Linda Ronstadt: The Sound of My Voice,2019,95,7,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.0,A
tt10011480,The Remix: Hip Hop X Fashion,2019,67,4,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,B
tt10011500,Slay the Dragon,2019,101,5,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.2,B
tt10011508,Trixie Mattel: Moving Parts,2019,91,7,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,B
tt10011682,Assholes: A Theory,2019,81,4,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,C
tt10011772,Balloons Over Babylon,2019,70,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,C
tt10012964,Iris: A Space Opera by Justice,2019,63,15,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,B
tt10013072,Out and About Movie 2: Las Vegas Adventure,2019,78,3,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.6,D
tt10014534,Sirens,2022,79,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,B
tt10014838,The Forgotten,2019,105,20,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.5,C
tt10015222,Yaz Kis Demeden,2019,61,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,D
tt10015234,"Do You Think God Loves Immigrant Kids, Mom?",2019,96,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,C
tt10015286,The Ringmaster,2019,88,6,250000,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,A
tt10015418,Five Million Dollar Life,2019,112,11,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.6,C
tt10015812,Death Whisper,2019,91,8,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,6.3,C
tt10016152,Mr Nelson on the North Side,2021,68,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.7,A
tt10016180,The Little Things,2021,128,45,30000000,0,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6.3,C
tt10016388,Bastan basa,2019,57,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4,C
tt10016428,Vargit zamani,2018,52,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5,D
tt10016436,Köpek filmi,2019,60,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,C
tt10016532,Ispade Rajavum Idhaya Raniyum,2019,153,8,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.4,C
tt10016640,Knots: A Forced Marriage Story,2020,76,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.7,B
tt10017454,The Purple Mist,2019,106,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.5,C
tt10017566,Bikers Kental 2,2019,94,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5.4,D
tt10017680,P Storm,2019,96,15,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.8,D
tt10017956,Gone Kesh,2019,110,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.9,C
tt10018386,When the Persimmons Grew,2019,118,5,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.2,C
tt10019108,Villa Caprice,2020,103,6,0,0,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.8,D
tt10019402,Finals,2019,122,6,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.1,B
tt10021582,A Deadly Legend,2020,97,7,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6,E
tt10021622,16 Bars,2018,94,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.8,C
tt10021804,Don't Work (1968 - 2018),2018,88,6,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.1,C
tt10022158,Worlds of Ursula K. Le Guin,2018,68,8,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.4,B
tt10022384,The Protector,2019,126,10,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5.5,D
tt10022716,Howard's Mill,2021,96,4,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,6.0,C
tt10022782,Everything I Ever Wanted to Tell My Daughter About Men,2021,88,4,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.1,C
tt10022864,It Could Be Him,2019,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.0,C
tt10022974,Nemesis,2019,89,4,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6.8,C
tt10022990,Seeru,2020,123,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.3,D
tt10023022,Clean,2021,94,29,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5.6,D
tt10023024,Love Aaj Kal,2020,142,17,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.7,E
tt10023080,Nedunalvaadai,2019,120,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,B
tt10023150,My Cousin,2020,104,15,10854516,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.3,D
tt10023172,Simple Passion,2020,99,34,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.3,D
tt10023286,The Humans,2021,108,21,0,0,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.2,C
tt10024044,Hiwwe wie Driwwe - Pfälzisch in Amerika,2019,91,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.2,A
tt10024716,Aghavan,2019,158,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,C
tt10026108,Felix in Wonderland,2019,49,5,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.1,B
tt10026172,Between Me and My Mind,2019,100,4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,B
tt10026686,Piedone nyomában,2018,65,2,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.8,B
tt10026730,Eleições,2019,100,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.9,C
tt10027696,Patterns of Evidence: Moses Controversy,2019,140,3,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4,C
tt10027708,Miguelito,2019,94,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,C
tt10027720,Ringolevio,2020,80,5,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4.8,E
tt10028196,Laal Singh Chaddha,2022,159,33,23000000,0,8,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,5.0,D
tt10028812,Witch Trilogy 15+,2022,71,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,B
tt10030150,Faces of Fear,2020,0,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.9,E
tt10032266,Asia,2020,85,18,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.7,C
tt10032342,Cosas imposibles,2021,89,5,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.7,B
tt10032574,Pure White,2021,97,4,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,C
tt10033908,Lucky One,2019,76,3,1587000,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.8,D
tt10034256,The Place of the Three Waterfalls. Little Stories of Hiroshima,2018,65,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,D
tt10034272,Mukherjee Dar Bou,2019,127,3,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9,B
tt10035012,Curses,2019,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.9,E
tt10035194,Adventures in Game Chasing,2022,101,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.3,B
tt10035478,Piola,2019,102,9,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,C
tt10036378,Canova,2019,96,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,B
tt10036868,Jay's Longhorn,2019,93,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.0,A
tt10037014,Fear of Rain,2021,109,24,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,5.9,D
tt10037542,When I Last Saw Jesse,2019,82,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.2,C
tt10037700,Pretty Cure Miracle Universe,2019,70,4,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.4,B
tt10037872,Matoma: One in a Million,2018,78,3,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,C
tt10037934,One Moment,2021,114,19,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.2,D
tt10038028,The Struggle,2019,96,4,250000,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.8,E
tt10038660,"Our Lady of San Juan, Four Centuries of Miracles",2021,122,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.2,C
tt10038826,Mohyla,2019,74,3,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.8,D
